English;Español
____ ? There's a app for that.;___? Hay una app para eso!
Why can't I sleep at night ?;Por qué me cuesta quedarme dormido?
What's that smell ?;Qué es ese olor?
I got 99 problems but _____ ain't one.;Que si estoy celoso? Para nada! Tengo _____. Las minas caen a mis pies.
Who stole the cookies from the cookie jar ?;Quién sacó las galletas del jarro?
What's the next Happy Meal toy ?;Cuál es el próximo juguete de la Cajita Feliz?
Anthropologists have recently discovered a primitive tribe that worships ____;Antropólogos han recientemente descubierto una tribu primitiva que adora ___
It's a pity that kids these days are all getting involved with ____;Es una pena que los niños hoy en día estén metidos en ___.
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;Durant sa période brune souvent oubliée, Picasso a produit des centaines de peintures de ___.
Alternative medecine is now embracing the curative powers of ____;La homeopatía ahora está adoptando los poderes curativos de ___.
And the Academy Award for ____ goes to ____ (2);Y el Oscar a ___ es para ___ (elige 2)
What's that sound ?;Qué es ese ruido?
What ended my last relationship ?;Qué fue lo que terminó mi última relación?
MTV's new reality show features eight washed-up celebrities living with ____ ;La nouvelle émission télé-réalité de la 6 montre 8 peoples sur le déclin vivant avec ___.
I drink to forget ____;Yo tomo para olvidar ___.
I'm sorry Professor, but I couldn't complete my homework because of ____;Lo siento profe, pero no pude terminar mi tarea porque ___.
What is Batman's guilty pleasure ?;Cuál es el placer culpable de Batman?
This is the way the worlds ends, Not with a bang but with ____;Y así es como se termina el mundo. No con una gran explosión, sino que con ___.
What's a girl's best friend ?;Cuál es el mejor amigo de una mujer?
TSA guidelines now prohibits ____ on airplanes.;La DGAC ahora prohíbe ___ en los aviones.
____. This is how I die;___. Así es como voy a morir.
For my next trick, I will pull ____ out of ____ (2);Para mi próximo truco, voy a sacar ___ de ___ .(elige 2)
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.;Dans le prochain tome, Martine se retrouvera confrontée pour la première fois à ___.
____ is a slippery slope that leads to ____ (2);___ est un terrain glissant qui amène à ___. (2)
What does Dick Cheney prefer ?;Cuál es el placer culpable de Leonardo Farkas?
I wish I hadn't lost the instruction manual for ____;Desearía no haber perdido el manual de instrucciones de ___
Instead of coal, Santa now gives the bad children ____.;En lugar de carbón, el Viejito Pascuero ahora le deja ___ a los niños malos.
What's the most emo ?;Le mal-être de la Génération Y est crystallisé par ___.
