English;Español
Coat hanger abortions;Abortos clandestinos
Man meat;Salsa de hombre
Autocannibalism;Autocanibalismo
Vigorous jazz hands;Manos de obrero de la construcción
Flightless birds;Palomas
Pictures of boobs;Fotos de tetas
Doing the right thing;Hacer lo correcto
Hunting accidents;Accidentes caseros
A cartoon camel enjoying the smooth, refreshing taste of a cigarette;Un oso enorme repartiendo dulces a niños pequeños
The violation of our most basic human rights;La violación de nuestros más básicos derechos humanos
Viagra;Viagra
Self-loathing;Auto-enojo
Spectacular abs;Unas calugas espectaculares
An honest cop with nothing left to lose;Un paco honesto sin nada que perder
Abstinence;Abstinencia
A balanced breakfast;Un desayuno balanceado
Mountain Dew Code Red;Kem Xtreme®
Concealing a boner;Ocultar una erección
Roofies;La pasta.
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts;
Tweeting;""Whatsappear""
The Big Bang;El Big Bang
Amputees;Amputados
Dr. Marting Luther King Jr;Dr. Dencil
Former President George W. Bush;El Ex-Presidente Piñera
Being marginalized;Ser marginado
Smegma;Grasa corporal
Laying an egg;Plantar un árbol
Cuddling;Hacer cositas tiernas
Aaron Burr;Bernardo O'Higgins
The Pope;El Papa.
A bleached asshole;Un culo brillante
Horse meat;Carne de caballo
Genital piercings;Piercings genitales
Fingering;Masturbación femenina
Elderly Japanese men;Ancianos japoneses
Stranger danger;Aceptar dulces de un desconocido en una van
Fear itself;Miedo a tí mismo
Science;Ciencia
Praying the gay away;Curar la homosexualidad
Same-sex ice dancing;Patinaje artístico homosexual.
The terrorists;CON LOH TERRORISTAH!
Making sex at her;Tirar con "ella"
German dungeon porn;Porno hardcore
Bingeing and purging;
Ethnic cleansing;Limpieza racial
Cheating in the Special Olympics;Hacer trampa en los Juegos Paralímpicos
Nickelback;Nickelback
Heteronormativity;Heteronormatividad
William Shatner;Pancho Melo
Making a pouty face;Cara de poto
Chainsaws for hands;Sierras en lugar de manos
The placenta;La placenta
The profoundly handicapped;Los inválidos
Tom Cruise;Tom Cruise
Object permanence;Permanencia del objeto
Goblins;Duendes
An icepick lobotomy;Un tumor cerebral
Arnold Schwarzenegger;Arnold Schwarzenegger
Hormone injections;Inyecciones hormonales
A falcon with a cap on its head;Un halcón con gorro
Foreskin;La puntita.
Dying;Morir.
Stunt doubles;Dobles de acción
The invisible hand;La mano invisible
Jew-fros;Afro
A really cool hat;Un gorro cool
Flash flooding;Inundación express
Flavored condoms;Condones con sabor
Dying of disentery;Morir de diarrea
Sexy pillow fights;Pelea sexy de almohadas
The Three-Fifths compromise;El Colonialismo
A sad handjob;Una chupá triste.
Men;Hombres
Historically black colleges;Universidades Opus-Dei.
Sean Penn;George Clooney.
Heartwarming orphans;Tiernos huérfanos
Waterboarding;Valle Nevado®.
The clitoris;El clítoris
Vikings;Mapuches
Friends who eat all the snacks;Esos ""amigos"" que se comen todo
The Underground Railroad;El Metro
Pretending to care;Pretender que te importa
Raptor attacks;Ataques de velocirraptors
A micropenis;Un micropene
A Gypsy curse;Una maldición gitana
Agriculture;Agricultura
Bling;Bling-Bling
A clandestine butt scratch;Rascarse piolamente las pelotas
The South;EL Sur
Sniffing glue;Silicona líquida
Consultants;Asesores
My humps; El Punto G.
Geese;Gansos
Being a dick to children;Ser un imbécil con los niños
Party poopers;Los caga-carretes
Sunshine and rainbows;Sol y arcoíris
YOU MUST CONSTRUCT ADDITIONAL PYLONS;BONOS PARA TODOS!
Mutually-assured destruction;Sembrar el terror
Heath Ledger;Heath Ledger
Sexting;Sexting
An Oedipus complex;Un complejo de Edipo
Eating all of the cookies before the AIDS bake-sale;Comerse todos los postres, como la gorda que eres.
A sausage festival;Un festival de salchichas
Michael Jackson;Michael Jackson
Skeletor;Skeletor
Chivalry;Caballerosidad
Sharing needles;Compartir la aguja
Being rich;Ser millonario
Muzzy;Apagá de tele.
Count Chocula;
Spontaneous human combustion;Combustión humana espontánea
College;La Universidad
Necrophilia;Necrofilia
The Chinese gymnastics team;El equipo Chino de gimnasia
Global warming;El Calentamiento Global.
Farting and walking away;Tirarse un peo e irse
Cookie Monster devouring the Eucharist wafers;Prendre les osties pour des chips
Stifling a giggle at the mention of Hutus and Tutsis;Réprimer un ricanement à la mention des Hutu et des Tutsi
Penis envy;Compararse el pico
Letting yourself go;Dejarse llevar
White people;Gente blanca
Dick Cheney;Sebastián Dávalos
Leaving an awkward voicemail;Dejar un mensaje en el buzón de voz
Yeast;Micosis
Natural selection;La selección natural
Masturbation;La paja.
Twinkies;Snickers™
A LAN party; Una LAN Party.
Opposable thumbs;Pulgares.
A grande sugar-free iced soy caramel macchiato;Un Frapucchino Caramel Venti.
Soiling oneself;Mearse.
A sassy black woman;Un negro sabroso.
Sperm whales;Semen de ballena.
Teaching a robot to love;Enseñarle a un robot a amar.
Scrubbing under the folds;Correrse mano entre las sábanas.
A drive-by shooting;Un tiroteo.
Whipping it out;Sacarla en público.
Panda sex;Sexo entre pandas.
Catapults;Catapultas.
Will Smith;Will Smith.
Toni Morrison's vagina;La vagina de Delfina Guzmán.
Five-Dollar Foot-longs;Un Big Mac™
Land mines;Minas antipersonales
A sea of troubles;Un mar de mierda
A zesty breakfast burrito;El bajón.
Christopher Walken;Christopher Walken
Friction;Tensión
Balls;Las pelotas.
AIDS;SIDA.
The KKK;El Partido Comunista.
Figgy pudding;
Seppuku;
Marky Mark and the Funky Bunch;Chancho en Piedra.
Gandhi;Gandhi.
Dave Matthews Band;Coldplay.
Preteens;Prepúberes.
The token minority;Las minorías sexuales.
Friends with benefits;Amigos con ventaja.
Re-gifting;Reciclar regalos.
Pixelated bukkake;Un bukkake pixelado
Substitute teachers;Profes reemplazantes.
Take-backsies;
